Title,Year,Duration,IMDB Rating,Genre,Actors,Nominations,Wins,Popularity
Star Wars: Episode IV - A New Hope,1977,121 min,8.6,"Action, Adventure, Fantasy","Mark Hamill, Harrison Ford, Carrie Fisher",30,Won 6 Oscars. 69,"1,489,239"
12 Angry Men,1957,96 min,9.0,"Crime, Drama","Henry Fonda, Lee J. Cobb, Martin Balsam",12,Nominated for 3 Oscars. 16,"906,119"
Psycho,1960,109 min,8.5,"Horror, Mystery, Thriller","Anthony Perkins, Janet Leigh, Vera Miles",14,Nominated for 4 Oscars. 8,"741,743"
Rear Window,1954,112 min,8.5,"Drama, Mystery, Thriller","James Stewart, Grace Kelly, Wendell Corey",13,Nominated for 4 Oscars. 6,"538,306"
"The Good, the Bad and the Ugly",1966,178 min,8.8,"Adventure, Drama, Western","Clint Eastwood, Eli Wallach, Lee Van Cleef",5,2,"838,907"
Sunset Boulevard,1950,110 min,8.4,"Drama, Film-Noir","William Holden, Gloria Swanson, Erich von Stroheim",20,Won 3 Oscars. 19,"245,601"
Silence of the Lambs,2002–,N/A,8.4,Documentary,N/A,0,0,14
Raiders of the Lost Ark,1981,115 min,8.4,"Action, Adventure","Harrison Ford, Karen Allen, Paul Freeman",24,Won 4 Oscars. 38,"1,061,701"
It's a Wonderful Life,1946,130 min,8.6,"Drama, Family, Fantasy","James Stewart, Donna Reed, Lionel Barrymore",6,Nominated for 5 Oscars. 7,"522,228"
American Beauty,1999,122 min,8.3,Drama,"Kevin Spacey, Annette Bening, Thora Birch",102,Won 5 Oscars. 112,"1,234,987"
Jaws,1975,124 min,8.1,"Adventure, Drama, Horror","Roy Scheider, Robert Shaw, Richard Dreyfuss",20,Won 3 Oscars. 16,"683,279"
The Exorcist,1973,122 min,8.1,Horror,"Ellen Burstyn, Max von Sydow, Linda Blair",21,Won 2 Oscars. 18,"472,157"
The Silence of the Lambs,1991,118 min,8.6,"Crime, Drama, Thriller","Jodie Foster, Anthony Hopkins, Scott Glenn",50,Won 5 Oscars. 71,"1,607,965"
Saving Private Ryan,1998,169 min,8.6,"Drama, War","Tom Hanks, Matt Damon, Tom Sizemore",75,Won 5 Oscars. 79,"1,547,314"
Braveheart,1995,178 min,8.3,"Biography, Drama, War","Mel Gibson, Sophie Marceau, Patrick McGoohan",34,Won 5 Oscars. 34,"1,116,147"
The Lion King,1994,88 min,8.5,"Animation, Adventure, Drama","Matthew Broderick, Jeremy Irons, James Earl Jones",35,Won 2 Oscars. 43,"1,181,907"
Titanic,1997,194 min,7.9,"Drama, Romance","Leonardo DiCaprio, Kate Winslet, Billy Zane",83,Won 11 Oscars. 126,"1,322,762"
The Departed,2006,151 min,8.5,"Crime, Drama, Thriller","Leonardo DiCaprio, Matt Damon, Jack Nicholson",141,Won 4 Oscars. 99,"1,460,913"
Gladiator,2000,155 min,8.5,"Action, Adventure, Drama","Russell Crowe, Joaquin Phoenix, Connie Nielsen",104,Won 5 Oscars. 60,"1,728,425"
Rocky,1976,120 min,8.1,"Drama, Sport","Sylvester Stallone, Talia Shire, Burt Young",23,Won 3 Oscars. 22,"650,875"
E.T. the Extra-Terrestrial,1982,115 min,7.9,"Adventure, Family, Sci-Fi","Henry Thomas, Drew Barrymore, Peter Coyote",38,Won 4 Oscars. 52,"449,151"
The Breakfast Club,1985,97 min,7.8,"Comedy, Drama","Emilio Estevez, Judd Nelson, Molly Ringwald",0,0,"449,461"
The Truman Show,1998,103 min,8.2,"Comedy, Drama","Jim Carrey, Ed Harris, Laura Linney",69,Nominated for 3 Oscars. 41,"1,253,418"
Fight Club,1999,139 min,8.8,Drama,"Brad Pitt, Edward Norton, Meat Loaf",38,Nominated for 1 Oscar. 12,"2,409,361"
Harry Potter and the Chamber of Secrets,2002,161 min,7.4,"Adventure, Family, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",50,Won 1 BAFTA Award14,"719,337"
The Hunger Games,2012,142 min,7.2,"Action, Adventure, Sci-Fi","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",49,Won 1 BAFTA Award34,"1,030,928"
The Last Samurai,2003,154 min,7.8,"Action, Drama","Tom Cruise, Ken Watanabe, Billy Connolly",67,Nominated for 4 Oscars. 20,"482,633"
Pirates of the Caribbean: Dead Man's Chest,2006,151 min,7.4,"Action, Adventure, Fantasy","Johnny Depp, Orlando Bloom, Keira Knightley",54,Won 1 Oscar. 45,"787,340"
The Prestige,2006,130 min,8.5,"Drama, Mystery, Sci-Fi","Christian Bale, Hugh Jackman, Scarlett Johansson",44,Nominated for 2 Oscars. 6,"1,493,848"
The Pursuit of Happyness,2006,117 min,8.0,"Biography, Drama","Will Smith, Thandiwe Newton, Jaden Smith",26,Nominated for 1 Oscar. 12,"582,792"
Star Trek,2009,127 min,7.9,"Action, Adventure, Sci-Fi","Chris Pine, Zachary Quinto, Simon Pegg",95,Won 1 Oscar. 27,"626,359"
The Hobbit: An Unexpected Journey,2012,169 min,7.8,"Adventure, Fantasy","Martin Freeman, Ian McKellen, Richard Armitage",76,Nominated for 3 Oscars. 11,"894,192"
